Link,Status,Threat Type,Threat Entry Type
abnormalpeople.com,Passed,None,None
absenta.com,Passed,None,None
acamprosate.com,Passed,None,None
accessibleclothing.com,Passed,None,None
activitychair.com,Passed,None,None
actonplumbing.com,Passed,None,None
aeroccino.com,Passed,None,None
aeroponicfarming.com,Passed,None,None
aeroponicssystem.com,Passed,None,None
aeroponicssystems.com,Passed,None,None
affordablepups.com,Passed,None,None
agaveattenuata.com,Passed,None,None
agelessarts.com,Passed,None,None
agravante.com,Passed,None,None
agrisano.com,Passed,None,None
agualvacacem.com,Passed,None,None
http://pilates-instructor.de/,Failed,MALWARE,URL